1	a man in street racer armor is examining the tire of another racers motor bike
1	the two racers drove the white bike down the road
1	two motorists are riding along on their vehicle that is oddly designed and colored
1	two people are in a small race car driving by a green hill
1	two people in racing uniforms in a street car
2	a firefighter extinguishes a fire under the hood of a car
2	a fireman spraying water into the hood of small white car on a jack
2	a fireman sprays inside the open hood of small white car  on a jack
2	a fireman using a firehose on a car engine that is up on a carjack
2	firefighter uses water to extinguish a car that was on fire
3	a boy sand surfing down a hill
3	a man is attempting to surf down a hill made of sand on a sunny day
3	a man is sliding down a huge sand dune on a sunny day
3	a man is surfing down a hill of sand
3	a young man in shorts and t shirt is snowboarding under a bright blue sky
4	kids play in a blue tub full of wateroutside
4	on a hot day  three small kids sit in a big container filled with water
4	the little kids sit outdoors in a small tub of water
4	three children squeeze into a plastic tub filled with water and play
4	three little boys take a bath in a rubber bin on the grass
5	a man is snowboarding over a structure on a snowy hill
5	a snowboarder jumps through the air on a snowy hill
5	a snowboarder wearing green pants doing a trick on a high bench
5	someone in yellow pants is on a ramp over the snow
5	the man is performing a trick on a snowboard high in the air
6	a baseball batter raising his arm
6	a baseball player from new york waiting to bat during a game
6	a baseball player in a yankees uniform is holding a bat in one hand
6	a new york yankee holds up a bat
6	new york yankee warming up
7	a bare backed climber is attached to the rock face on a pink safety rope
7	a lone rock climber in a harness climbing a huge rock wall
7	a man is rock crawling up a rock wall
7	a man wearing no shirt climbs a steep cliff
7	man with no shirt on climbing rocks
8	a competitive motorcycle racer prepares to make a left turn along a paved road
8	a man rides a motorcycle with the number 5 on it
8	a motorcycle driver swerves to the left
8	a motorcycle with number five on front is being ridden by a rider wearing a red helmet
8	professional motorcycle racer turning a corner
9	a man is riding on a red motorcycle
9	a motorcycle driver dressed in orange gear swerves to the right
9	a motorcyclist on a red speed bike leans into a sharp turn
9	motorcyclist crouches low as he rounds a turn
9	this person is on a red motorcycle
10	a motorcycle racer leans his bike
10	a motorcyclist is driving down a road on their motorbike
10	a motorcyclist is riding their sponsored car along a roadway that has recently turned
10	a motorcyclist on the street
10	a motorcyclist with a red helmet rides his blue motorcycle down the road
11	the iguanas wrestled along the rocky water bank
11	the two reptiles are standing on their back legs near deep water
11	two lizards fighting
11	two lizards fight in the water
11	two oriental lizards are fighting for dominance in a small pond
12	a boxer punches a boxer in the face
